designation,Payment_Type,level,City,State,Company_Name
Painter,Daily,novice,Delhi,Delhi,Garg and Sons
Painter,Daily,novice,New Delhi,Delhi,Khurana PLC
Painter,Daily,expert,Greater Bengaluru Area,Karnataka,Subramaniam-Kala
Painter,Daily,beginner,Gurugram,Haryana,"Sethi, Lad and Kulkarni"
Painter,Daily,beginner,Mohali district,North West,"Kamdar, Tailor and Chowdhury"
Painter,Daily,beginner,Gurugram,Haryana,"Garde, Sangha and Mangat"
Painter,Daily,novice,Bengaluru,Karnataka,Goyal PLC
Painter,Daily,beginner,Delhi,Delhi,Buch PLC
Painter,Daily,beginner,Gurugram,Haryana,Dugar-Sharaf
Painter,Daily,beginner,Noida,Uttar Pradesh,Savant-Khatri
Painter,Daily,expert,Gurugram,Haryana,Deep LLC
Painter,Daily,beginner,Noida,Uttar Pradesh,"Vaidya, Mahal and Dara"
Painter,Daily,beginner,Gurugram,Haryana,Bhardwaj Inc
Painter,Daily,beginner,Hyderabad,Telangana,Sane PLC
Painter,Bi-Weekly,beginner,Bengaluru,Karnataka,Choudhry LLC
Painter,Daily,expert,Hyderabad,Telangana,Chawla-Varma
Painter,Daily,beginner,Delhi,Delhi,"Basu, Banik and Mand"
Painter,Daily,beginner,Bengaluru,Karnataka,"Ghosh, Kala and Toor"
Painter,Daily,beginner,Hyderabad,Telangana,"Varty, Solanki and Chatterjee"
Painter,Bi-Weekly,beginner,Bengaluru,Karnataka,Sahota LLC
Painter,Daily,beginner,Bengaluru,Karnataka,"Hari, Chopra and Butala"
Painter,Daily,beginner,Chennai,Tamil Nadu,Wadhwa Group
Painter,Daily,beginner,Bengaluru,Karnataka,Krishna-Acharya
Painter,Daily,expert,Kolkata,West Bengal,Dora-Raman
Painter,Daily,beginner,Madurai,Tamil Nadu,Bassi LLC
Painter,Daily,expert,Bengaluru,Karnataka,Madan Ltd
Painter,Bi-Weekly,novice,Bengaluru,Karnataka,Buch-Choudhury
Painter,Daily,beginner,Pune,Maharashtra,"Krishna, Upadhyay and Mannan"
Painter,Daily,expert,Gurugram,Haryana,"Zacharia, Sekhon and Sankaran"
Painter,Daily,beginner,Mumbai,Maharashtra,"Balan, Sami and Shankar"
Painter,Daily,beginner,Hyderabad,Telangana,"Bhardwaj, Mallick and Chopra"
Painter,Daily,novice,Hyderabad,Telangana,Arya-Tandon
Painter,Daily,beginner,Pune,Maharashtra,Chandra-Shanker
Painter,Daily,expert,Delhi,Delhi,"Chandran, Bora and Shah"
Painter,Daily,novice,Bengaluru,Karnataka,"Sachdev, Sangha and Mangat"
Painter,Daily,expert,Greater Bengaluru Area,Karnataka,Choudhry-Chaudry
Painter,Daily,expert,Pune,Maharashtra,Soni LLC
Painter,Daily,expert,Bengaluru,Karnataka,Kant Inc
Painter,Bi-Weekly,novice,Bengaluru,Karnataka,Srinivas-Divan
Painter,Daily,beginner,Bengaluru,Karnataka,Mand and Sons
Painter,Daily,beginner,Bengaluru,Karnataka,Saini-Sabharwal
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Varkey-Mane
Painter,Daily,expert,Chennai,Tamil Nadu,Ramaswamy-Comar
Painter,Daily,beginner,Greater Bengaluru Area,Karnataka,Tandon Ltd
Painter,Daily,beginner,Kochi,Kerala,"Gill, Kakar and Ghose"
Painter,Daily,novice,Kolkata,West Bengal,Sachar-Amble
Painter,Daily,beginner,Noida,Uttar Pradesh,Vasa-Hayre
Painter,Daily,novice,Pune,Maharashtra,Manda-Basak
Painter,Daily,beginner,Bengaluru,Karnataka,Behl Ltd
Painter,Daily,beginner,Pune,Maharashtra,Loke-Goyal
Painter,Daily,expert,Greater Bengaluru Area,Karnataka,Viswanathan Group
Painter,Daily,beginner,Pune,Maharashtra,Bali PLC
Painter,Daily,beginner,Hyderabad,Telangana,Aurora LLC
Painter,Daily,expert,Mumbai,Maharashtra,Jaggi-Batra
Painter,Daily,beginner,Pune,Maharashtra,Dada-Bhargava
Painter,Daily,expert,Pune,Maharashtra,D’Alia-Sarin
Painter,Daily,beginner,Chennai,Tamil Nadu,Cheema-Cheema
Painter,Daily,expert,Mumbai,Maharashtra,"Doshi, Yadav and Kar"
Painter,Daily,expert,Bengaluru,Karnataka,Vyas-Dash
Painter,Daily,expert,Bengaluru,Karnataka,Loke PLC
Painter,Daily,expert,Bengaluru,Karnataka,Bhandari-Borde
Painter,Daily,beginner,Bengaluru,Karnataka,"Barad, Rajagopal and Sachar"
Painter,Daily,expert,Hyderabad,Telangana,"Bedi, Shankar and Bahri"
Painter,Daily,expert,Hyderabad,Telangana,Kanda PLC
Painter,Daily,beginner,Ahmedabad,Gujarat,Kanda LLC
Painter,Daily,expert,Chennai,Tamil Nadu,Luthra and Sons
Painter,Daily,expert,Bengaluru,Karnataka,"Char, Walia and Dani"
Painter,Daily,beginner,Bengaluru,Karnataka,"Ray, Joshi and Baria"
Painter,Daily,expert,Hyderabad,Telangana,Chaudry Ltd
Painter,Daily,beginner,Mumbai,Maharashtra,Subramanian Inc
Painter,Daily,expert,Pune,Maharashtra,"Chana, Suri and Comar"
Painter,Daily,beginner,Hyderabad,Telangana,Ranganathan Group
Painter,Daily,beginner,Hyderabad,Telangana,"Gour, Kalita and Sem"
Painter,Daily,expert,Bengaluru,Karnataka,"Ahuja, Chaudhari and Guha"
Painter,Daily,expert,Bengaluru,Karnataka,Ratta-Khanna
Painter,Daily,beginner,Hyderabad,Telangana,Kant-Badami
Painter,Daily,beginner,Mumbai,Maharashtra,"Din, Bir and Majumdar"
Painter,Daily,beginner,Bengaluru,Karnataka,Dugar Inc
Painter,Daily,expert,Bengaluru,Karnataka,Kumar-Saxena
Painter,Daily,expert,Noida,Uttar Pradesh,"Ram, Bhakta and Hora"
Painter,Daily,beginner,Hyderabad,Telangana,Bhargava-Sidhu
Painter,Daily,beginner,Vadodara,Gujarat,"Mandal, Keer and Dhar"
Painter,Daily,expert,Chennai,Tamil Nadu,Contractor-Virk
Painter,Bi-Weekly,expert,Bengaluru,Karnataka,Devan-Chahal
Painter,Daily,beginner,Bengaluru,Karnataka,Amble Group
Painter,Daily,expert,Hyderabad,Telangana,Tiwari-Bhalla
Painter,Daily,expert,Pune,Maharashtra,Gola-Bhatnagar
Painter,Daily,beginner,Hosur,Tamil Nadu,Dube-Chacko
Painter,Daily,beginner,Pune,Maharashtra,Kannan-Madan
Painter,Daily,expert,Bengaluru,Karnataka,Borde-Vyas
Painter,Daily,expert,Hyderabad,Telangana,Dalal PLC
Painter,Daily,expert,Hyderabad,Telangana,"Sem, Anne and Mani"
Painter,Daily,expert,Delhi,Delhi,"Badal, Chadha and Srinivasan"
